text,label,score
AIデータサイエンスを履修してみて、これまで「なんとなく難しそう」と思っていたデータ分析の考え方が、少しずつ形として理解できるようになってきたと感じています。特に、授業を通じて統計的な思考やデータの扱い方が体系的に学べる点が大きく、Pythonを使った実習では、単にコードを書くのではなく、その結果がどのような意味を持つのかを考える力が身についてきたと思います。,POSITIVE,0.9496639966964722
ためになることばかりで楽しかったです,POSITIVE,0.9917435050010681
色々な事を学ぶ事ができ、私の知らないことをこの授業で知ることが出来たので良かったです。,POSITIVE,0.9916893243789673
あまり触れてこなったpythonやExcelについてしっかり学ぶことができた。,POSITIVE,0.9826585054397583
新鮮な授業でとても有益でした。,POSITIVE,0.989582896232605
データサイエンスを学んぶことができて嬉しいです。,POSITIVE,0.9917706251144409
日常生活におけるツールとして、理解を介助する手立てとなった。,POSITIVE,0.7879687547683716
とても分かりやすい。,POSITIVE,0.5711259841918945
講義を通じて多くの学びを得ることができた一方で、テストでは一つ一つ選択して問題を解く必要な点は少しやりにくいと感じました。,NEGATIVE,0.9864364266395569
エクセルの使い方を詳しく学ぶ機会は高校まではなく、社会人として働きだすまでに学びたいと考えていたため、学べていることが今後のためになっていると感じてやりがいを感じています。,POSITIVE,0.9699999690055847
初心者向けの講座かと思ったら、専門用語が説明無く大量に出てきてかなり苦労している。,NEGATIVE,0.9851415157318115
今まで触れることのなかった領域の学習だったのでとても興味深い内容だった。,POSITIVE,0.951406717300415
プログラミングは難しかったが、基礎的な知識を身につけられてよかった。,POSITIVE,0.9783989787101746
プログラミングの知識や統計学の知識を得ることができてとてもためになる講義であった。,POSITIVE,0.921833336353302
python苦手でした。,NEGATIVE,0.9850381016731262
対面授業でないという部分もあり理解を一人で深めるのには限界があった,NEGATIVE,0.9702954888343811
出題ミスが多かった。,NEGATIVE,0.9892303347587585
プログラミング関連のものが苦手だったのでこの講義で学ぶことができてよかったです。,POSITIVE,0.9797642230987549
すごく難しいが新しい分野で面白い,POSITIVE,0.9884740710258484
AIデータサイエンスツールについて少しでも理解を深めたいと思っており、今後の人生でも役に立つ機会が必ず来ると思ったので履修しました。,POSITIVE,0.9610119462013245
AIを活用しても難しいと感じます。,NEGATIVE,0.9543549418449402
本科目を履修したことにより、実際にコードに触れることができ、基礎を学べているため、とても有益な講義だと思います。,POSITIVE,0.9875816106796265
普通に実用性がある知識を身につけられている思っている。,POSITIVE,0.5857569575309753
役に立ちそうなことを学べました。,POSITIVE,0.9031887054443359
AIデータサイエンスツールの授業は、実際にツールやPythonを使いながらデータ分析の基礎を身につけられ、実践的でわかりやすい内容でした。,POSITIVE,0.9364050030708313
データサイエンスに関する様々なツール等を勉強できて大変興味深くおもしろかったです。,POSITIVE,0.9904727339744568
難しい部分もあったが、毎回新しい視点を得られて考えを深められたと感じている。,POSITIVE,0.9796605706214905
今まで情報の授業をあまり受けてきていなかったので、難しかった。,NEGATIVE,0.9877542853355408
現代を生きるすべを学んだ。,POSITIVE,0.934019148349762
1年次に学科の情報処理で習ったことの復習ができてよかった。,POSITIVE,0.9906312823295593
数学が苦手なので苦労しました,NEGATIVE,0.9868069291114807
オンラインで受けられることで隙間時間に行なうことができたため自分時間を充実させることができた。,POSITIVE,0.9625733494758606
Excelをあまり勉強してきたことがなかったので、基本的な使い方を知ることができてよかったと思いました。,POSITIVE,0.9670360088348389
なかなかまだ経験したことのないような内容ばかりだった,NEGATIVE,0.9715422987937927
この科目を通じて統計学の基礎を体系的に理解し、実践的に活用できる力を身につけることができました。,POSITIVE,0.9810724258422852
普段は別の先端技術要素が好きで勉強しているのですが、そこを深めていく中でやはりAIの基礎を学ばなければならないと履修を決め、結果卒業前に履修することができてよかったと心から感じています。,POSITIVE,0.9785658717155457
そもそもパソコンというもの、Excelというものに触れる機会があまりなかったため、とても難しいと感じた。,NEGATIVE,0.9702022075653076
AI化が進み｢AI」という言葉をよく耳にするようになった現代社会で役に立ちそうだと考えたから。,NEUTRAL,0.7802920937538147
自分が思っていたより複雑ではなかった,NEUTRAL,0.44732052087783813
